step,affected_rows,note
删除完全重复记录,6,使用整行完全一致作为判断标准
统一省份名称,10,将省、自治区全称映射为统一简称
统一能源类型,9,太阳能→光伏，风能→风电，水力发电→水电
统一日期格式,12,统一转换为 pandas datetime
日期解析失败,0,解析失败的日期需要人工检查
installed_capacity_mw 业务范围异常,0,异常值转为缺失值，后续按时间插值
generation_gwh 业务范围异常,0,异常值转为缺失值，后续按时间插值
utilization_hours 业务范围异常,0,异常值转为缺失值，后续按时间插值
precipitation_mm 业务范围异常,1,异常值转为缺失值，后续按时间插值
wind_speed_m_s 业务范围异常,1,异常值转为缺失值，后续按时间插值
solar_radiation_kwh_m2 业务范围异常,0,异常值转为缺失值，后续按时间插值
grid_connection_rate_pct 业务范围异常,1,异常值转为缺失值，后续按时间插值
investment_million_cny 业务范围异常,0,异常值转为缺失值，后续按时间插值
发电量内部一致性异常,5,实际/理论估算比值不在 0.5—1.5，转为缺失值
数值缺失值填补,35,组内线性插值→组内中位数→全局中位数
